Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Sweden,2017,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Slovenia,2017,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Slovakia,2017,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,United Kingdom,2017,"I - 'susceptible, increased exposure' isolates ",55.000000000
Third-gen cephalosporins,Austria,2018,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Belgium,2018,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Bulgaria,2018,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Cyprus,2018,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Czechia,2018,"I - 'susceptible, increased exposure' isolates ",21.000000000
Third-gen cephalosporins,Germany,2018,"I - 'susceptible, increased exposure' isolates ",28.000000000
Third-gen cephalosporins,Denmark,2018,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Estonia,2018,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Greece,2018,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,Spain,2018,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Finland,2018,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,France,2018,"I - 'susceptible, increased exposure' isolates ",41.000000000
Third-gen cephalosporins,Croatia,2018,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Hungary,2018,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Ireland,2018,"I - 'susceptible, increased exposure' isolates ",12.000000000
Third-gen cephalosporins,Iceland,2018,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2018,"I - 'susceptible, increased exposure' isolates ",81.000000000
Third-gen cephalosporins,Lithuania,2018,"I - 'susceptible, increased exposure' isolates ",2.000000000
